epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5991,1.19729,2.28954,1.17701,0.60405,0.43077,0.32072,0.22581,0.89831,1.54105,1.01042,0.000472641,0.000472641,0.000472641
2,44.1056,1.19693,1.75147,1.17356,0.64221,0.42948,0.52194,0.37019,0.88967,1.50654,1.03888,0.000939579,0.000939579,0.000939579
3,65.279,1.19135,1.6957,1.18057,0.57882,0.64838,0.60758,0.41883,1.02712,1.41291,1.10185,0.00139709,0.00139709,0.00139709
4,87.4284,1.19617,1.61563,1.18943,0.64969,0.60426,0.63449,0.43545,0.99313,1.55972,1.09572,0.00138656,0.00138656,0.00138656
5,109.013,1.18286,1.5629,1.18546,0.6661,0.61897,0.6459,0.4537,1.01985,1.2779,1.09768,0.00137241,0.00137241,0.00137241
6,130.404,1.18191,1.48652,1.1761,0.62533,0.55995,0.62007,0.41724,0.99146,1.23511,1.08281,0.00135826,0.00135826,0.00135826
7,151.647,1.15457,1.4565,1.14643,0.70961,0.57643,0.64887,0.45065,0.94836,1.27397,1.07233,0.00134412,0.00134412,0.00134412
8,172.907,1.133,1.38706,1.14992,0.54649,0.60962,0.6186,0.44144,0.95432,1.1843,1.07078,0.00132997,0.00132997,0.00132997
9,194.251,1.10239,1.3353,1.14055,0.84454,0.60403,0.70525,0.52243,0.90614,1.05045,1.04003,0.00131582,0.00131582,0.00131582
10,215.657,1.11578,1.2916,1.13529,0.58443,0.63392,0.63546,0.45992,0.90353,1.1273,1.06852,0.00130168,0.00130168,0.00130168
11,237.185,1.08231,1.31133,1.1342,0.61731,0.63985,0.67528,0.49519,0.86378,1.08668,1.04069,0.00128753,0.00128753,0.00128753
12,258.485,1.09456,1.28065,1.13029,0.62737,0.65971,0.64658,0.46324,0.94851,1.07199,1.05988,0.00127338,0.00127338,0.00127338
13,279.773,1.08749,1.28871,1.12472,0.58434,0.73143,0.69499,0.49875,0.91485,1.0156,1.05128,0.00125923,0.00125923,0.00125923
14,300.984,1.04189,1.22556,1.11402,0.62821,0.68051,0.67262,0.48644,0.90143,1.05744,1.03821,0.00124509,0.00124509,0.00124509
15,322.413,1.05414,1.2007,1.09709,0.64721,0.58063,0.70614,0.50024,0.90044,1.08532,1.05336,0.00123094,0.00123094,0.00123094
16,343.971,1.08763,1.24726,1.138,0.54634,0.61821,0.59125,0.42678,0.90742,1.12238,1.04993,0.00121679,0.00121679,0.00121679
17,365.466,1.07106,1.20931,1.12138,0.65574,0.67491,0.71256,0.52412,0.89808,1.06261,1.04515,0.00120265,0.00120265,0.00120265
18,387.231,1.02758,1.18041,1.09367,0.7272,0.62951,0.65035,0.47859,0.93028,1.01754,1.04759,0.0011885,0.0011885,0.0011885
19,408.615,1.03829,1.18352,1.10401,0.75756,0.5871,0.69621,0.51842,0.87764,0.99852,1.03304,0.00117435,0.00117435,0.00117435
20,429.996,1.0307,1.16532,1.09676,0.73381,0.66621,0.74223,0.52705,0.87843,1.01547,1.05625,0.00116021,0.00116021,0.00116021
21,452.413,1.0215,1.11483,1.08844,0.63279,0.65631,0.69943,0.50562,0.91804,1.01516,1.06029,0.00114606,0.00114606,0.00114606
22,473.995,1.02434,1.12302,1.09455,0.53717,0.71053,0.65864,0.47089,0.89159,1.07976,1.04615,0.00113191,0.00113191,0.00113191
23,495.474,1.02213,1.11882,1.08585,0.69621,0.62054,0.69208,0.50274,0.88809,0.95556,1.05382,0.00111776,0.00111776,0.00111776
24,516.908,0.98856,1.08349,1.08317,0.78676,0.60943,0.73272,0.53937,0.88207,0.95973,1.04047,0.00110362,0.00110362,0.00110362
25,538.621,1.00369,1.07797,1.08186,0.79313,0.67375,0.74226,0.54784,0.87456,0.98711,1.04416,0.00108947,0.00108947,0.00108947
26,560.158,0.9793,1.0517,1.07933,0.65594,0.66382,0.71757,0.53423,0.90182,0.9317,1.046,0.00107532,0.00107532,0.00107532
27,581.559,0.98112,1.06761,1.07784,0.78827,0.67705,0.74572,0.55091,0.84452,0.92907,1.01971,0.00106118,0.00106118,0.00106118
28,603.149,0.96262,1.04525,1.06777,0.74596,0.59631,0.73938,0.53654,0.85527,0.95356,1.03309,0.00104703,0.00104703,0.00104703
29,624.369,0.94971,1.0201,1.05085,0.72627,0.64368,0.71221,0.51177,0.87502,0.92383,1.0359,0.00103288,0.00103288,0.00103288
30,645.959,0.95048,1.02636,1.06187,0.79389,0.6213,0.7297,0.53359,0.84563,0.95665,1.02,0.00101873,0.00101873,0.00101873
31,667.444,0.94649,1.02084,1.06761,0.70084,0.67984,0.73445,0.54562,0.84652,0.92305,1.02074,0.00100459,0.00100459,0.00100459
32,688.967,0.95062,1.0914,1.05687,0.64323,0.73542,0.7315,0.54722,0.84361,0.91009,1.02519,0.00099044,0.00099044,0.00099044
33,710.161,0.92481,0.98121,1.05132,0.75275,0.69428,0.775,0.56677,0.83965,0.88807,1.02877,0.000976293,0.000976293,0.000976293
34,731.353,0.93514,0.9801,1.06106,0.75865,0.6546,0.7612,0.56582,0.8451,0.91135,1.02721,0.000962146,0.000962146,0.000962146
35,753.315,0.96689,1.00581,1.07963,0.78342,0.67194,0.77506,0.55357,0.88714,0.91631,1.04114,0.000947999,0.000947999,0.000947999
36,775.116,0.9416,0.96143,1.04866,0.77766,0.64578,0.76161,0.55431,0.88303,0.87942,1.04015,0.000933851,0.000933851,0.000933851
37,796.569,0.9408,0.94953,1.04228,0.79588,0.64917,0.77424,0.56052,0.88339,0.91539,1.05224,0.000919704,0.000919704,0.000919704
38,818.099,0.91345,0.94933,1.04043,0.78568,0.65322,0.78755,0.5689,0.86355,0.89404,1.02931,0.000905557,0.000905557,0.000905557
39,839.881,0.92177,0.945,1.04673,0.75434,0.73385,0.78041,0.57909,0.8343,0.88011,1.01906,0.00089141,0.00089141,0.00089141
40,861.615,0.91287,0.92787,1.03582,0.76264,0.62343,0.74349,0.55726,0.86302,0.90662,1.0321,0.000877263,0.000877263,0.000877263
41,883.367,0.90105,0.92129,1.03014,0.62613,0.77585,0.73671,0.55016,0.8408,0.86507,1.02838,0.000863116,0.000863116,0.000863116
42,904.789,0.88461,0.92429,1.03052,0.72535,0.7091,0.73618,0.54275,0.83794,0.90189,1.02177,0.000848969,0.000848969,0.000848969
43,926.431,0.9106,0.9399,1.03724,0.77186,0.65982,0.7794,0.57331,0.8564,0.87532,1.0316,0.000834822,0.000834822,0.000834822
44,947.631,0.90311,0.9157,1.03726,0.63156,0.71815,0.7086,0.51679,0.84032,0.90284,1.03301,0.000820675,0.000820675,0.000820675
45,968.995,0.88732,0.91578,1.03161,0.67505,0.66529,0.70656,0.51923,0.86483,0.89546,1.0313,0.000806528,0.000806528,0.000806528
46,990.739,0.89423,0.90541,1.0231,0.73057,0.69964,0.74685,0.53769,0.84738,0.89943,1.01741,0.00079238,0.00079238,0.00079238
47,1012.25,0.88812,0.90053,1.03222,0.66996,0.80471,0.77654,0.5705,0.85675,0.86558,1.02953,0.000778233,0.000778233,0.000778233
48,1033.69,0.87916,0.8772,1.02248,0.74017,0.74514,0.76255,0.57421,0.84571,0.85434,1.02406,0.000764086,0.000764086,0.000764086
49,1056.46,0.89758,0.87475,1.03625,0.70581,0.78989,0.77729,0.5921,0.81485,0.87618,1.02082,0.000749939,0.000749939,0.000749939
50,1078,0.85997,0.87342,1.02268,0.75262,0.7596,0.80363,0.5754,0.83724,0.8505,1.02045,0.000735792,0.000735792,0.000735792
51,1099.84,0.87458,0.87823,1.02512,0.73163,0.75678,0.7656,0.54488,0.83517,0.88813,1.02247,0.000721645,0.000721645,0.000721645
52,1122.12,0.88985,0.88794,1.02745,0.76009,0.76942,0.78097,0.5612,0.83585,0.90692,1.02978,0.000707498,0.000707498,0.000707498
53,1143.87,0.86559,0.85242,1.01984,0.79436,0.713,0.77523,0.57862,0.8167,0.85249,1.01601,0.000693351,0.000693351,0.000693351
54,1165.84,0.85669,0.85669,1.01089,0.68651,0.79837,0.79826,0.5827,0.81657,0.87149,1.01841,0.000679204,0.000679204,0.000679204
55,1245.21,0.87562,0.8473,1.01607,0.70624,0.73076,0.74842,0.56758,0.84239,0.87922,1.02283,0.000665057,0.000665057,0.000665057
56,1334.52,0.84352,0.82997,0.9957,0.70534,0.76655,0.76045,0.57907,0.8004,0.84024,1.00318,0.000650909,0.000650909,0.000650909
57,1425.03,0.85724,0.82776,1.0094,0.67324,0.75176,0.75832,0.58039,0.83741,0.8461,1.02098,0.000636762,0.000636762,0.000636762
58,1514.51,0.83254,0.80404,0.99437,0.65163,0.78647,0.75808,0.57212,0.82771,0.82973,1.02168,0.000622615,0.000622615,0.000622615
59,1603.55,0.82288,0.79763,1.00612,0.81137,0.72698,0.78251,0.59295,0.80092,0.83473,1.00722,0.000608468,0.000608468,0.000608468
60,1693.9,0.84624,0.82462,1.00133,0.81688,0.67651,0.78809,0.59611,0.7904,0.82734,1.01894,0.000594321,0.000594321,0.000594321
61,1784.6,0.83119,0.80937,0.99777,0.73736,0.72346,0.77493,0.59566,0.80335,0.79174,1.01553,0.000580174,0.000580174,0.000580174
62,1874.94,0.83462,0.79689,0.99702,0.77681,0.73787,0.78994,0.59484,0.82415,0.83658,1.0323,0.000566027,0.000566027,0.000566027
63,1964.39,0.81508,0.79083,0.99325,0.70604,0.72797,0.76503,0.58504,0.82096,0.82492,1.02219,0.00055188,0.00055188,0.00055188
