epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.706,1.1255,3.54457,0.007,0.51258,0.28274,0.16907,0.11755,0.91655,2.38114,0.00854,0.000472641,0.000472641,0.000472641
2,66.919,1.15955,2.78524,0.00735,0.54698,0.33026,0.22326,0.15103,0.99306,2.09741,0.01001,0.000939579,0.000939579,0.000939579
3,97.6059,1.14666,2.59849,0.00745,0.66279,0.33917,0.33159,0.22808,0.9639,1.8448,0.00983,0.00139709,0.00139709,0.00139709
4,128.173,1.16669,2.37853,0.00786,0.65818,0.48572,0.49598,0.36119,0.98398,1.62386,0.00949,0.00138656,0.00138656,0.00138656
5,158.693,1.16154,2.19131,0.00781,0.49775,0.5034,0.51911,0.36856,0.97367,1.4967,0.00957,0.00137241,0.00137241,0.00137241
6,189.329,1.14502,2.04985,0.0074,0.59735,0.59122,0.55765,0.40655,0.91775,1.42804,0.00893,0.00135826,0.00135826,0.00135826
7,219.846,1.14606,1.94852,0.00712,0.52045,0.55413,0.52431,0.37999,0.95995,1.41387,0.00999,0.00134412,0.00134412,0.00134412
8,250.5,1.14016,1.84536,0.0074,0.63325,0.5338,0.57272,0.41367,0.98404,1.31036,0.01022,0.00132997,0.00132997,0.00132997
9,281.375,1.13437,1.77951,0.00742,0.56291,0.47885,0.58659,0.42891,0.9489,1.22945,0.00946,0.00131582,0.00131582,0.00131582
10,312.364,1.14656,1.67859,0.00722,0.59425,0.6261,0.58556,0.42494,0.92839,1.19024,0.0094,0.00130168,0.00130168,0.00130168
11,343.184,1.12359,1.63698,0.00741,0.74116,0.46184,0.56508,0.41154,0.94938,1.22413,0.00958,0.00128753,0.00128753,0.00128753
12,373.998,1.10661,1.60894,0.00693,0.47576,0.56958,0.55942,0.40285,0.98067,1.28806,0.00987,0.00127338,0.00127338,0.00127338
13,404.985,1.11733,1.55942,0.007,0.56841,0.5697,0.58424,0.41432,0.98889,1.22553,0.00957,0.00125923,0.00125923,0.00125923
14,436.121,1.10363,1.50336,0.00731,0.73928,0.56383,0.61222,0.44855,0.95169,1.16886,0.0103,0.00124509,0.00124509,0.00124509
15,467.25,1.11475,1.43158,0.00691,0.70175,0.51212,0.60334,0.44553,0.9516,1.17755,0.00937,0.00123094,0.00123094,0.00123094
16,498.811,1.12687,1.48258,0.00742,0.50561,0.61238,0.5427,0.38528,0.93675,1.25202,0.00938,0.00121679,0.00121679,0.00121679
17,529.836,1.1124,1.45237,0.0074,0.65884,0.44991,0.53925,0.39622,0.9408,1.16764,0.00936,0.00120265,0.00120265,0.00120265
18,560.867,1.09186,1.38673,0.00681,0.48736,0.60102,0.53911,0.3903,0.92057,1.14269,0.00929,0.0011885,0.0011885,0.0011885
19,591.865,1.08388,1.37606,0.00684,0.67054,0.51895,0.62779,0.46716,0.92433,1.07423,0.00919,0.00117435,0.00117435,0.00117435
20,623.543,1.09577,1.36182,0.00714,0.59041,0.57114,0.60094,0.44614,0.94878,1.10514,0.0097,0.00116021,0.00116021,0.00116021
21,654.706,1.07443,1.31328,0.00669,0.62663,0.55156,0.62411,0.46771,0.9181,1.07979,0.00936,0.00114606,0.00114606,0.00114606
