epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3449,1.11468,3.54937,0.00694,0.52066,0.26009,0.17812,0.12561,0.88157,2.37432,0.008,0.000472641,0.000472641,0.000472641
2,125.83,1.16391,2.81448,0.00732,0.56111,0.33965,0.23502,0.16118,0.93793,2.0961,0.00934,0.000939579,0.000939579,0.000939579
3,186.219,1.16551,2.58984,0.00757,0.6487,0.31245,0.30697,0.21964,0.9285,1.8611,0.00898,0.00139709,0.00139709,0.00139709
4,248.152,1.19944,2.39585,0.00803,0.61679,0.42008,0.454,0.32643,0.99362,1.60558,0.00976,0.00138656,0.00138656,0.00138656
5,305.621,1.14456,2.19136,0.00767,0.56218,0.45675,0.522,0.38059,0.97213,1.48962,0.00959,0.00137241,0.00137241,0.00137241
6,365.957,1.16114,2.06439,0.00752,0.53948,0.51815,0.47209,0.34943,0.93803,1.53471,0.00945,0.00135826,0.00135826,0.00135826
7,427.266,1.16945,1.96874,0.00722,0.47783,0.58342,0.52601,0.37909,1.04516,1.35912,0.01044,0.00134412,0.00134412,0.00134412
8,488.878,1.15415,1.85099,0.0074,0.6242,0.55073,0.59294,0.43535,0.95834,1.27044,0.01007,0.00132997,0.00132997,0.00132997
9,550.059,1.12587,1.76882,0.00733,0.58669,0.45864,0.53708,0.40675,0.95701,1.32307,0.01001,0.00131582,0.00131582,0.00131582
10,611.169,1.16288,1.69626,0.00732,0.77814,0.50506,0.58317,0.428,0.92997,1.21331,0.00922,0.00130168,0.00130168,0.00130168
11,669.527,1.13447,1.63106,0.00754,0.62354,0.52332,0.60811,0.43203,0.9096,1.18925,0.00877,0.00128753,0.00128753,0.00128753
12,727.054,1.09851,1.60456,0.00696,0.62945,0.53333,0.58416,0.42333,0.92377,1.19835,0.00902,0.00127338,0.00127338,0.00127338
13,785.226,1.10167,1.5585,0.00682,0.68044,0.52508,0.61118,0.44405,0.89042,1.10333,0.00855,0.00125923,0.00125923,0.00125923
14,842.274,1.11111,1.51698,0.00734,0.53788,0.6137,0.57144,0.41221,0.94484,1.13269,0.00926,0.00124509,0.00124509,0.00124509
15,902.55,1.1347,1.45394,0.0069,0.71003,0.4864,0.62313,0.45376,0.94272,1.13846,0.0094,0.00123094,0.00123094,0.00123094
16,962.66,1.14091,1.51197,0.00742,0.54326,0.57281,0.58009,0.42566,0.95631,1.21035,0.00995,0.00121679,0.00121679,0.00121679
17,1020.86,1.11659,1.44065,0.00726,0.55323,0.60485,0.59312,0.42655,0.95012,1.13953,0.00957,0.00120265,0.00120265,0.00120265
