epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4643,1.11489,3.52244,0.00651,0.01565,0.58739,0.12745,0.08764,0.85872,2.79652,0.00734,0.000469005,0.000469005,0.000469005
2,96.4198,1.16446,2.75582,0.00663,0.5916,0.29242,0.24074,0.1687,0.91092,2.05817,0.00859,0.00093598,0.00093598,0.00093598
3,141.157,1.15122,2.52454,0.0072,0.64025,0.35164,0.3274,0.23073,0.9309,1.82533,0.00858,0.00139352,0.00139352,0.00139352
4,188.492,1.15955,2.3194,0.00762,0.67777,0.33399,0.43287,0.31059,0.99988,1.78982,0.00958,0.00138656,0.00138656,0.00138656
5,238.51,1.17339,2.21147,0.00738,0.48685,0.45988,0.50193,0.35994,0.94748,1.48162,0.00896,0.00137241,0.00137241,0.00137241
6,283.359,1.16074,2.04158,0.00714,0.52679,0.50374,0.51386,0.34816,1.01612,1.46284,0.00948,0.00135826,0.00135826,0.00135826
7,334.665,1.13333,1.87611,0.00669,0.53832,0.55414,0.53126,0.37815,0.94583,1.38705,0.00847,0.00134412,0.00134412,0.00134412
8,387.365,1.12375,1.77917,0.00651,0.57262,0.58372,0.58232,0.42034,0.94065,1.26924,0.00889,0.00132997,0.00132997,0.00132997
9,433.834,1.08998,1.74042,0.00654,0.52964,0.59913,0.58975,0.42335,0.9408,1.20085,0.0096,0.00131582,0.00131582,0.00131582
10,478.265,1.10294,1.65206,0.00654,0.52168,0.53263,0.52139,0.3705,0.89916,1.28772,0.00861,0.00130168,0.00130168,0.00130168
11,522.84,1.13893,1.63132,0.00699,0.64204,0.49477,0.57707,0.41424,0.97495,1.29462,0.00948,0.00128753,0.00128753,0.00128753
12,567.859,1.11859,1.59137,0.00717,0.6143,0.56308,0.62051,0.44569,0.97306,1.0933,0.00967,0.00127338,0.00127338,0.00127338
13,613.109,1.09424,1.52946,0.00669,0.61117,0.59091,0.62164,0.45092,0.92583,1.14331,0.0089,0.00125923,0.00125923,0.00125923
14,657.79,1.06835,1.44535,0.00665,0.75474,0.4665,0.60287,0.44236,0.89459,1.20817,0.00841,0.00124509,0.00124509,0.00124509
15,702.626,1.07346,1.41586,0.00608,0.64996,0.60953,0.61544,0.44563,0.96915,1.11703,0.00949,0.00123094,0.00123094,0.00123094
16,752.382,1.12047,1.43999,0.00671,0.60848,0.54506,0.56936,0.39777,0.94651,1.30086,0.0091,0.00121679,0.00121679,0.00121679
17,798.22,1.12174,1.40469,0.00704,0.64771,0.60225,0.63011,0.45248,0.93795,1.06641,0.00962,0.00120265,0.00120265,0.00120265
18,844.101,1.09041,1.41054,0.00708,0.60787,0.58873,0.62055,0.44395,0.98079,1.11908,0.00947,0.0011885,0.0011885,0.0011885
19,891.001,1.08581,1.3272,0.00649,0.5304,0.60871,0.57318,0.41476,0.93693,1.13553,0.00925,0.00117435,0.00117435,0.00117435
20,937.107,1.06092,1.28813,0.00655,0.65633,0.64418,0.62414,0.4602,0.96204,1.09295,0.00954,0.00116021,0.00116021,0.00116021
21,982.464,1.05589,1.26696,0.0061,0.68006,0.58548,0.6373,0.4692,0.9063,1.03761,0.00905,0.00114606,0.00114606,0.00114606
22,1028.4,1.06342,1.26622,0.00646,0.59008,0.59865,0.55394,0.39887,0.94349,1.1036,0.00935,0.00113191,0.00113191,0.00113191
23,1074.23,1.08035,1.25589,0.0065,0.5851,0.60276,0.57922,0.42595,0.90821,1.04751,0.0085,0.00111776,0.00111776,0.00111776
24,1119.56,1.05768,1.26674,0.00646,0.66868,0.5988,0.63817,0.47135,0.90066,1.02933,0.00843,0.00110362,0.00110362,0.00110362
25,1164.35,1.05115,1.22122,0.00636,0.65777,0.60738,0.6423,0.47686,0.91331,1.00571,0.00872,0.00108947,0.00108947,0.00108947
26,1208.98,1.04328,1.2097,0.00647,0.58468,0.58062,0.61326,0.45261,0.92381,1.04664,0.00913,0.00107532,0.00107532,0.00107532
27,1258.95,1.03971,1.21574,0.00635,0.67649,0.58016,0.64497,0.47161,0.92568,1.08894,0.00869,0.00106118,0.00106118,0.00106118
28,1313.97,1.04166,1.17211,0.00647,0.6418,0.61301,0.65694,0.48639,0.93915,0.98165,0.00902,0.00104703,0.00104703,0.00104703
29,1368.66,1.01998,1.13606,0.00628,0.61507,0.61804,0.65908,0.47946,0.96793,0.98865,0.00937,0.00103288,0.00103288,0.00103288
30,1424.17,1.06407,1.19009,0.00639,0.78153,0.54369,0.67116,0.50366,0.9388,1.01201,0.00903,0.00101873,0.00101873,0.00101873
31,1479.73,1.02009,1.14196,0.00658,0.62779,0.68689,0.6857,0.50679,0.91217,0.96279,0.00859,0.00100459,0.00100459,0.00100459
32,1535.22,1.02685,1.1282,0.00605,0.76895,0.52326,0.63673,0.47648,0.90979,0.9682,0.00869,0.00099044,0.00099044,0.00099044
