epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5651,1.08747,4.95519,0.49523,1.12375,1.1709,0.77408,0.79944,0.86264,0.60681,0.6553,0.59181,0.57933,0.23854,0.96153,3.42969,0.16427,0.90158,1.06714,0.00065641,0.00065641,0.00065641
2,80.8552,1.16505,5.13291,0.31854,1.10922,1.19343,0.73256,0.74859,0.79523,0.53092,0.54528,0.55085,0.41063,0.12597,1.06447,4.12922,0.13227,1.04823,1.13642,0.00129688,0.00129688,0.00129688
3,117.334,1.21729,5.32217,0.2779,1.17189,1.22508,0.59381,0.65247,0.67886,0.41816,0.43911,0.40819,0.3309,0.10326,1.24769,4.42033,0.13508,1.2836,1.26591,0.00191095,0.00191095,0.00191095
4,153.506,1.23114,5.40406,0.25152,1.1903,1.22569,0.7695,0.74435,0.82186,0.52161,0.61189,0.51271,0.49106,0.14076,1.13175,4.35395,0.10778,1.14845,1.18492,0.0018812,0.0018812,0.0018812
5,188.647,1.20454,5.34532,0.2468,1.14227,1.22135,0.76458,0.75565,0.82318,0.55381,0.56062,0.49576,0.41928,0.1192,1.05087,4.19981,0.09163,1.00363,1.1537,0.0018416,0.0018416,0.0018416
6,224.232,1.17748,5.17622,0.2247,1.08847,1.20365,0.77769,0.78066,0.85257,0.59035,0.59893,0.5904,0.51101,0.16999,1.01692,3.8671,0.06455,0.94671,1.11023,0.001802,0.001802,0.001802
7,260.741,1.14517,5.1925,0.21623,1.09191,1.20251,0.78827,0.78353,0.86265,0.59711,0.63437,0.53913,0.52613,0.18798,1.01683,3.94414,0.06271,0.90894,1.12059,0.0017624,0.0017624,0.0017624
8,297.831,1.10696,4.95035,0.20135,1.03667,1.15668,0.77414,0.76836,0.85327,0.60874,0.60805,0.59463,0.53943,0.19708,0.96073,3.71885,0.07486,0.90332,1.08623,0.0017228,0.0017228,0.0017228
9,334.646,1.10183,4.89722,0.20741,1.02205,1.1663,0.79248,0.78107,0.8501,0.59909,0.64618,0.61135,0.54144,0.18441,0.98291,3.64219,0.05882,0.90897,1.10408,0.0016832,0.0016832,0.0016832
10,371.589,1.08706,4.83078,0.20239,1.0279,1.15919,0.82267,0.76271,0.86726,0.61879,0.67968,0.58475,0.5712,0.20944,0.95993,3.70248,0.05771,0.88126,1.09234,0.0016436,0.0016436,0.0016436
11,407.72,1.06499,4.74192,0.19101,0.98577,1.13714,0.78719,0.79802,0.86057,0.61653,0.63519,0.62571,0.56926,0.1908,0.96723,3.77872,0.06865,0.87577,1.10187,0.001604,0.001604,0.001604
